Kellyanne Conway calls out 'so-called feminists',http://www.foxnews.com/transcript/2017/10/12/kellyanne-conway-calls-out-so-called-feminists.html,
Stories of heroism emerge from Las Vegas massacre,http://www.foxnews.com/transcript/2017/10/04/stories-heroism-emerge-from-las-vegas-massacre.html,
Rangel Used PAC Money for Legal Defense,http://www.foxnews.com/politics/2010/11/14/rangel-used-pac-money-legal-defense.html,
"Kickstarter allows celebs to defy Hollywood studios, but users say the stars shouldn’t be asking fans for cash",http://www.foxnews.com/entertainment/2013/07/22/kickstarter-allows-celebs-to-defy-hollywood-studios-but-users-say-stars.html,
"Fighting back against the abusive, partisan IRS",http://www.foxnews.com/opinion/2013/05/29/fighting-back-against-abusive-partisan-irs.html,
AOL News Boss Takes Sides in Wall Street Protest,http://www.foxnews.com/us/2011/10/07/aol-news-boss-takes-sides-in-wall-street-protest.html,
London Marathon runners offer tributes to Boston victims,http://www.foxnews.com/world/2013/04/21/london-marathon-runners-offer-tributes-to-boston-victims.html,
"CEO Drops $1 Million for Undocumented Immigrant College Scholarships, Partners with North Carolina Universities",http://www.foxnews.com/world/2012/10/17/ceo-offering-full-college-scholarships-for-undocumented-immigrants-partners.html,
Amazon's U.K. Site Selling WikiLeaks Excerpts,http://www.foxnews.com/tech/2010/12/09/amazon-selling-wikileaks-documents.html,
 Breast Cancer Awareness,http://www.foxnews.com/health/2010/10/25/breast-cancer-awareness.html,
"Obama visits Oklahoma to comfort tornado victims, thank rescuers",http://www.foxnews.com/politics/2013/05/26/obama-touring-oklahoma-tornado-response.html,
U.S.-Born Radical Cleric Added to Terror Blacklist,http://www.foxnews.com/us/2010/07/16/born-radical-cleric-added-terror-blacklist.html,
Soldier who lost all four limbs offered custom 'smart home',http://www.foxnews.com/us/2012/04/17/foundations-offer-to-build-smarthome-for-quadruple-amputee-army-veteran.html,
Quadruple amputee undergoes surgery after Afghanistan blast,http://www.foxnews.com/us/2012/04/16/quadruple-amputee-to-undergo-surgery-after-afghanistan-blast.html,
"Make no mistake, President Obama is already in full campaign mode",http://www.foxnews.com/opinion/2012/03/06/make-no-mistake-president-obama-is-already-in-full-campaign-mode.html,
Neighbor Charged With Killing White Supremacist Lawyer,http://www.foxnews.com/us/2010/04/22/miss-white-supremacists-death-probed-homicide.html,
The Government Wants Your Money,http://www.foxnews.com/story/2010/04/14/government-wants-your-money.html,
The Government Wants Your Money,http://www.foxnews.com/transcript/2010/04/14/government-wants-your-money.html,
"Haiti, Liberalism and America",http://www.foxnews.com/story/2010/01/14/haiti-liberalism-and-america.html,
"Haiti, Liberalism and America",http://www.foxnews.com/transcript/2010/01/14/haiti-liberalism-and-america.html,
"Fear and frustration mount in NYC; traffic chokes bridges, and throngs wait for buses and gas",http://www.foxnews.com/weather/2012/11/01/fear-and-frustration-mount-in-nyc-traffic-chokes-bridges-and-throngs-wait-for/,
"Frustration Builds in Staten Island, Storm Stricken New York City",http://www.foxnews.com/world/2012/11/01/sandy-exasperation-builds-on-day-3-in-storm-stricken-nyc.html,
"Connecticut woman slams governor's stance on immigration law; Thiessen, Roginsky debate the future of health care reform",http://www.foxnews.com/transcript/2017/02/23/connecticut-woman-slams-governor-stance-on-immigration-law-thiessen-roginsky.html,
Romney Will Wind Up as GOP Nominee But Will the Party Faithful Have Regrets?,http://www.foxnews.com/opinion/2011/10/24/romney-will-wind-up-as-gop-nominee-but-will-party-faithful-have-regrets.html,
