jpohhhh,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:09:08 +0000 2018
VeryLovingCat,"RT @NExpla: @VeryLovingCat It is tragic, horrifying this happened, but just cause one dog did something wrong, means the whole species, and…","@VeryLovingCat It is tragic, horrifying this happened, but just cause one dog did something wrong, means the whole species, and you can say a mass amount do..... But more people kill children then pitbulls do, so how would #humandropoff sounf to you",Sun Aug 19 02:08:57 +0000 2018
thediggle,@lbeckman @shannonrwatts This is horrible. Is anybody approaching them directly on what a horrifying statement this is?,,Sun Aug 19 02:08:55 +0000 2018
ChiSoRyte,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 02:08:44 +0000 2018
MarleneMalik2,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:08:41 +0000 2018
DaltFarmer,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:08:37 +0000 2018
LaurieWoolever,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:08:36 +0000 2018
yppitts,RT @gibbee1: Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Sun Aug 19 02:08:29 +0000 2018
CHOCLABLOVER,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:08:21 +0000 2018
LilBambiEyes,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 02:08:19 +0000 2018
evers_kard,RT @BetteMidler: THIS IS REQUIRED READING FOR ALL OF US.  WHAT HAS HAPPENED TO THE FREE PRESS IN OUR COUNTRY IS HORRIFYING AND MUST STOP!!…,THIS IS REQUIRED READING FOR ALL OF US.  WHAT HAS HAPPENED TO THE FREE PRESS IN OUR COUNTRY IS HORRIFYING AND MUST STOP!! A Free Press Needs You   via @NYTimes https://t.co/ViNoEiMYzn,Sun Aug 19 02:08:08 +0000 2018
kristykakes207,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:08:08 +0000 2018
RamCNN,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:08:04 +0000 2018
scrtchng_pst,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:08:01 +0000 2018
sevenheismans,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:08:01 +0000 2018
KsnurseVictoria,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:07:57 +0000 2018
ntaldo,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:07:47 +0000 2018
musicrowmaniac,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:07:47 +0000 2018
SueLawr30382612,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:07:42 +0000 2018
teemarieeagle,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:07:37 +0000 2018
ripjazmin,"RT @nastyrat29: if you see a tweet w this caption, account + a video please look away. it's another horrible animal abuse video. it's horri…","if you see a tweet w this caption, account + a video please look away. it's another horrible animal abuse video. it's horrifying. please save yourself the trauma-re-traumitization. https://t.co/YzpVgOT78F",Sun Aug 19 02:07:33 +0000 2018
LizDolphinfluff,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:07:23 +0000 2018
memorse5,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:07:17 +0000 2018
SarahDamaske,RT @ChelseaClinton: Horrifying. #FamiliesBelongTogether https://t.co/G1R9wKOk1W,Horrifying. #FamiliesBelongTogether https://t.co/G1R9wKOk1W,Sun Aug 19 02:07:01 +0000 2018
