CmCristy53,RT @Marebear1472: @paxton Is the shooter in custody?,@paxton Is the shooter in custody?,Sun Aug 19 15:41:13 +0000 2018
18AKGOYAL,Dabholkar murder case: Main shooter remanded in CBI custody https://t.co/8STlVqlrLm,,Sun Aug 19 14:12:21 +0000 2018
NewIndianXpress,"Sachin Prakasrao Andure, who was arrested last evening by the CBI, was produced before the court of judicial magistrate first class A S Mujumdar.

https://t.co/uGtRJxol04",,Sun Aug 19 13:55:01 +0000 2018
CNNnews18,"The alleged main shooter in the  #NarendraDabholkar muder will be in CBI custody till 26th August. 
https://t.co/QTJO3ycnW1",,Sun Aug 19 10:49:16 +0000 2018
dt_next,"A court here today remanded the alleged main shooter in the murder case of anti-superstition activist #NarendraDabholkar in CBI custody till August 26.
https://t.co/WPMFTYOzrp",,Sun Aug 19 09:57:32 +0000 2018
DeccanChronicle,Main shooter in activist Narendra Dabholkar murder sent to CBI custody till Aug 26 https://t.co/OQHjoUHpYJ,,Sun Aug 19 09:47:52 +0000 2018
acrmedia,Dabholkar Murder Case: Main Shooter Remanded in CBI Custody https://t.co/01AH5FKyP2 https://t.co/Joi4H0b0JV,,Sun Aug 19 09:36:19 +0000 2018
Abhiaesh1,"RT @nc24x7: Dabholkar Murder Case: Main Shooter Remanded In CBI Custody

https://t.co/T4pKwy7jY7 https://t.co/nXXIBAezz1","Dabholkar Murder Case: Main Shooter Remanded In CBI Custody

https://t.co/T4pKwy7jY7 https://t.co/nXXIBAezz1",Sun Aug 19 09:24:07 +0000 2018
singhsa24627939,"RT @abpnewstv: #NarendraDabholkar murder case: Accused shooter sent to CBI custody till August 26
https://t.co/e4nRJxZT7b https://t.co/2J8j…","#NarendraDabholkar murder case: Accused shooter sent to CBI custody till August 26
https://t.co/e4nRJxZT7b https://t.co/2J8jP4hX1F",Sun Aug 19 09:21:02 +0000 2018
foroneindia,"RT @abpnewstv: #NarendraDabholkar murder case: Accused shooter sent to CBI custody till August 26
https://t.co/e4nRJxZT7b https://t.co/2J8j…","#NarendraDabholkar murder case: Accused shooter sent to CBI custody till August 26
https://t.co/e4nRJxZT7b https://t.co/2J8jP4hX1F",Sun Aug 19 09:20:13 +0000 2018
nc24x7,"Dabholkar Murder Case: Main Shooter Remanded In CBI Custody

https://t.co/T4pKwy7jY7 https://t.co/nXXIBAezz1",,Sun Aug 19 09:19:56 +0000 2018
latif__13,"RT @abpnewstv: #NarendraDabholkar murder case: Accused shooter sent to CBI custody till August 26
https://t.co/e4nRJxZT7b https://t.co/2J8j…","#NarendraDabholkar murder case: Accused shooter sent to CBI custody till August 26
https://t.co/e4nRJxZT7b https://t.co/2J8jP4hX1F",Sun Aug 19 09:16:00 +0000 2018
Selva_bofficial,"RT @the_hindu: Just in: Sachin Andure, alleged main shooter in Narendra Dabholkar murder case, remanded in CBI custody till August 26 by Pu…","Just in: Sachin Andure, alleged main shooter in Narendra Dabholkar murder case, remanded in CBI custody till August 26 by Pune court. PTI",Sun Aug 19 09:15:10 +0000 2018
TheAwaaj_in,"RT @abpnewstv: #NarendraDabholkar murder case: Accused shooter sent to CBI custody till August 26
https://t.co/e4nRJxZT7b https://t.co/2J8j…","#NarendraDabholkar murder case: Accused shooter sent to CBI custody till August 26
https://t.co/e4nRJxZT7b https://t.co/2J8jP4hX1F",Sun Aug 19 09:12:15 +0000 2018
abpnewstv,"#NarendraDabholkar murder case: Accused shooter sent to CBI custody till August 26
https://t.co/e4nRJxZT7b https://t.co/2J8jP4hX1F",,Sun Aug 19 09:11:15 +0000 2018
Choudhary_TS,"RT @the_hindu: Just in: Sachin Andure, alleged main shooter in Narendra Dabholkar murder case, remanded in CBI custody till August 26 by Pu…","Just in: Sachin Andure, alleged main shooter in Narendra Dabholkar murder case, remanded in CBI custody till August 26 by Pune court. PTI",Sun Aug 19 09:11:02 +0000 2018
DeccanHerald,"#JUSTIN Sachin Andure, alleged main shooter in #NarendraDabholkar murder case, remanded in #CBI custody till August 26 by Pune court | #BREAKING",,Sun Aug 19 09:09:57 +0000 2018
Crickettweets79,"RT @the_hindu: Just in: Sachin Andure, alleged main shooter in Narendra Dabholkar murder case, remanded in CBI custody till August 26 by Pu…","Just in: Sachin Andure, alleged main shooter in Narendra Dabholkar murder case, remanded in CBI custody till August 26 by Pune court. PTI",Sun Aug 19 09:08:17 +0000 2018
DearSanket_B,"RT @the_hindu: Just in: Sachin Andure, alleged main shooter in Narendra Dabholkar murder case, remanded in CBI custody till August 26 by Pu…","Just in: Sachin Andure, alleged main shooter in Narendra Dabholkar murder case, remanded in CBI custody till August 26 by Pune court. PTI",Sun Aug 19 09:07:23 +0000 2018
Faller18,"RT @the_hindu: Just in: Sachin Andure, alleged main shooter in Narendra Dabholkar murder case, remanded in CBI custody till August 26 by Pu…","Just in: Sachin Andure, alleged main shooter in Narendra Dabholkar murder case, remanded in CBI custody till August 26 by Pune court. PTI",Sun Aug 19 09:04:00 +0000 2018
the_hindu,"Just in: Sachin Andure, alleged main shooter in Narendra Dabholkar murder case, remanded in CBI custody till August 26 by Pune court. PTI",,Sun Aug 19 09:03:44 +0000 2018
DailyWorldChd,"Sachin Andure, alleged main shooter in Narendra Dabholkar murder case, remanded in CBI custody till August 26 by Pune court. - https://t.co/2S86Psgjnu",,Sun Aug 19 08:59:37 +0000 2018
NancyTexass,@JaredSawyerJr So many on thread missing the point. Let's assume all 3 below committed a crime. We know all 3 on top did. A black defendant is more likely to be beaten in police custody while one white mass shooter was taken for a burger by police before being booked.,,Sat Aug 18 23:15:59 +0000 2018
AvilerED,RT @students4c: PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/5kxkwn2eD4 #TimeToTalk #Stude…,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/5kxkwn2eD4 #TimeToTalk #StudentSafety,Sat Aug 18 23:10:31 +0000 2018
houstonk32,RT @pbphighschools: PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/Ee13SLsbPN,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/Ee13SLsbPN,Sat Aug 18 17:43:01 +0000 2018
KathrynRedd,PBSO: Two shot at Palm Beach Central high school football game in Wellington; no shooter in custody https://t.co/TgmrjjgWnK,,Sat Aug 18 15:12:49 +0000 2018
BanzaiWellness,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/t7dGR0coOV,,Sat Aug 18 14:25:25 +0000 2018
lboogmerkel,RT @students4c: PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/5kxkwn2eD4 #TimeToTalk #Stude…,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/5kxkwn2eD4 #TimeToTalk #StudentSafety,Sat Aug 18 14:14:05 +0000 2018
Alldoor14,"RT @LEX18News: According to the Palm Beach County Sheriff's Office, one of the victims was located on the school property. The second victi…","According to the Palm Beach County Sheriff's Office, one of the victims was located on the school property. The second victim was transported to a local hospital by a friend. The shooter is still not in custody. https://t.co/eXDS1T5KOm",Sat Aug 18 14:02:24 +0000 2018
meditaudios,#BreakingNews PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/rZMxJ3DBVs https://t.co/hCaDOI20mZ,,Sat Aug 18 13:55:05 +0000 2018
JamieDeRosa,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/yeQN7Pj4An,,Sat Aug 18 13:41:38 +0000 2018
Michael67494581,"RT @LEX18News: According to the Palm Beach County Sheriff's Office, one of the victims was located on the school property. The second victi…","According to the Palm Beach County Sheriff's Office, one of the victims was located on the school property. The second victim was transported to a local hospital by a friend. The shooter is still not in custody. https://t.co/eXDS1T5KOm",Sat Aug 18 13:38:08 +0000 2018
sherylkahn,"PBSO: Two adults shot at high school football game in Wellington, FL, on critically; no shooter in custody https://t.co/vS9fd807Fn",,Sat Aug 18 13:35:29 +0000 2018
CDietrich1007,RT @students4c: PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/5kxkwn2eD4 #TimeToTalk #Stude…,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/5kxkwn2eD4 #TimeToTalk #StudentSafety,Sat Aug 18 13:33:51 +0000 2018
LEX18News,"According to the Palm Beach County Sheriff's Office, one of the victims was located on the school property. The second victim was transported to a local hospital by a friend. The shooter is still not in custody. https://t.co/eXDS1T5KOm",,Sat Aug 18 13:26:15 +0000 2018
SantalucesROTC,Palm Beach Sheriff’s Office state: Two shot at high school football game in Wellington; no shooter in custody - The Palm Beach Post https://t.co/6RTnq3ybgC,,Sat Aug 18 13:23:42 +0000 2018
douglassperling,RT @aGuyonClematis: Two shot at high school football game in Wellington; no shooter in custody - Palm Beach County Schools police have aske…,"Two shot at high school football game in Wellington; no shooter in custody - Palm Beach County Schools police have asked the sheriff’s violent crimes division to take over the investigation

https://t.co/s2j3aqOAMh",Sat Aug 18 12:45:59 +0000 2018
CierraGoddess,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/TNkFMU8EKh,,Sat Aug 18 12:43:59 +0000 2018
grandted212,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/FoicJeAaq8,,Sat Aug 18 12:43:02 +0000 2018
i_am_nawal,"RT @NBTMumbai: विरार तक फैल गई रवि पुजारी की दहशत, क्राइम ब्रांच ने शूटर राहुल यादव को कस्टडी में लिया https://t.co/8TuQfnoH8w","विरार तक फैल गई रवि पुजारी की दहशत, क्राइम ब्रांच ने शूटर राहुल यादव को कस्टडी में लिया https://t.co/8TuQfnoH8w",Sat Aug 18 12:11:16 +0000 2018
