hailey_lynn1012,"RT @lilbaby4PF: Be careful how much you tolerate , you teaching them how to treat you !","Be careful how much you tolerate , you teaching them how to treat you !",Sat Aug 18 23:14:39 +0000 2018
hanahfurtado1,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:14:37 +0000 2018
tamarynnn,RT @ayethatsnayy: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:14:37 +0000 2018
tea_honeytea,@chloepnc @ARMY_BLINKS @mineRoseanne @ultsjisoo @onceluvieblink @tearkjs Oh! I’m so so sorry I didn’t mean too offend you I’m sorry! I didn’t know I will make sure to be more careful😰,,Sat Aug 18 23:14:35 +0000 2018
axngelica,"RT @JonBenetGlamsyy: Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa…","Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa today around 1pm. 
They were with a man. 
This was their van. 
Be careful! 

#SanDiego https://t.co/HsVfvjYm28",Sat Aug 18 23:14:35 +0000 2018
RayanahAlotaibi,"don't share everything with everyone, be careful who you keep around.",,Sat Aug 18 23:14:34 +0000 2018
ThatsSoLalo,"RT @Kokomothegreat: ""you're treating me like a fucking black person""

Be careful dumbfuck, your white privilege is showing. https://t.co/wO…","""you're treating me like a fucking black person""

Be careful dumbfuck, your white privilege is showing. https://t.co/wOiq5tvGXR",Sat Aug 18 23:14:32 +0000 2018
HendoShaylee,RT @ayethatsnayy: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:14:30 +0000 2018
jae_dok,"RT @lesternubla: I will sing of your love and justice;
to you, Lord, I will sing praise.
I will be careful to lead a blameless life—
when w…","I will sing of your love and justice;
to you, Lord, I will sing praise.
I will be careful to lead a blameless life—
when will you come to me?
I will conduct the affairs of my house
with a blameless heart.

Psalm 101:1-2 (NIV)

#MCGIThanksgivingAfterThanksgiving",Sat Aug 18 23:14:29 +0000 2018
babyygaalll,"RT @MasinElije: Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely…","Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely because some people’s only motive is to ruin your reputation and tarnish your image because they’re jealous of the life you’re living.",Sat Aug 18 23:14:28 +0000 2018
MikaylaShuman,RT @Glorious716: Be careful who you let into your life,Be careful who you let into your life,Sat Aug 18 23:14:27 +0000 2018
bretrunk,RT @brown_kaytlin: be careful how much you tolerate; you’re teaching them how to treat you,be careful how much you tolerate; you’re teaching them how to treat you,Sat Aug 18 23:14:26 +0000 2018
lexthaagod,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:14:26 +0000 2018
_HighLevelShxt,RT @YslDuke: Be Careful who you share your energy with everybody don’t deserve it 🤷🏽‍♂️,Be Careful who you share your energy with everybody don’t deserve it 🤷🏽‍♂️,Sat Aug 18 23:14:24 +0000 2018
kaylajayyy__,"RT @MasinElije: Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely…","Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely because some people’s only motive is to ruin your reputation and tarnish your image because they’re jealous of the life you’re living.",Sat Aug 18 23:14:24 +0000 2018
SourPatchSarah7,"@Wicked_Lizzie I'm not gonna be drinking much, I'm so little that I have to be super careful. But of course! I'd love a mini twitter party! Especially with all the wonderful Lucifam members!",,Sat Aug 18 23:14:23 +0000 2018
NanaOxford,"RT @AnnaApp91838450: https://t.co/OMBR5fRNQi
Patriots Pray For President
Trump 💯We're Winning 
He's About To Blow The Lid Of The Corrupt Ce…","https://t.co/OMBR5fRNQi
Patriots Pray For President
Trump 💯We're Winning 
He's About To Blow The Lid Of The Corrupt Cess 
Pool In Washington That Will Destroy Democrats💯
Be Careful🙏Big Bucks 
Behind Trying To Crucifie
Paul Manafort💥Pray It's
A Hung Jury!
#MAGA 
#FireMueller",Sat Aug 18 23:14:16 +0000 2018
jaypeg_,RT @iamanthonye: Be careful though👀 they’ll break yo heart too https://t.co/CyXxsR17LR,Be careful though👀 they’ll break yo heart too https://t.co/CyXxsR17LR,Sat Aug 18 23:14:12 +0000 2018
ChaosMaster42,RT @kathygriffin: Has anyone stopped to think that Omarosa releasing tapes is hurting the Mueller investigation? Trump people will be more…,Has anyone stopped to think that Omarosa releasing tapes is hurting the Mueller investigation? Trump people will be more careful what they say around each other now. What if Mueller wanted to tap some phones or have someone wear a wire. Not sure people will speak as freely now,Sat Aug 18 23:14:10 +0000 2018
JohnnyBlaze_82,If you are a grinder like me and can't spend money on MUT be very careful with the gamechanger packs. It's not easy accumulating 50k to buy and you could very easily end up with ALL golds. Just an FYI @Serg_MUT @collins_mut @Zeus_Zeke,,Sat Aug 18 23:14:10 +0000 2018
AnaGarcia_xo,"RT @karr_karrr: Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring","Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring",Sat Aug 18 23:14:10 +0000 2018
BossBando,@varilovable Ok jus be careful for me...,,Sat Aug 18 23:14:09 +0000 2018
limitlove,"RT @KristenxLeanne: Be careful how far you push someone away, they might end up liking it there.","Be careful how far you push someone away, they might end up liking it there.",Sat Aug 18 23:14:08 +0000 2018
Claraw_97,RT @nickynickinikki: After backpacking through both Vietnam and Thailand for the summer I can say that what happened to Caitlin Richardson…,After backpacking through both Vietnam and Thailand for the summer I can say that what happened to Caitlin Richardson doesn’t surprise me at all but DONT let it put you off these AMAZING countries just always be in good company and BE CAREFUL. safe exploring kids.,Sat Aug 18 23:14:07 +0000 2018
Ruby_Stevens,"@jasondashbailey Be careful the journey of a thousand miles begins in between the time the oceans drank Atlantis and #Drumpf is eastbound and down and someday the mountain may get him and that day is today #NotMyPresident my name is a killing word, sir. RT if you agree.",,Sat Aug 18 23:14:05 +0000 2018
c_reamson,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:14:01 +0000 2018
EthanSpence4,RT @jake_bassett: Everyone be careful around Logan blubaugh and his skanky ass friends. Stole my wallet and w ID and credit cards.,Everyone be careful around Logan blubaugh and his skanky ass friends. Stole my wallet and w ID and credit cards.,Sat Aug 18 23:14:01 +0000 2018
JoanMarM,"Quick Hit: Be careful what you wish for, Donnie... https://t.co/gG7enqfytb",,Sat Aug 18 23:14:01 +0000 2018
_shawtybynature,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:14:00 +0000 2018
PabloNoBars,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:14:00 +0000 2018
marian_morla,"RT @Contigo131: Women love attention. 

Many will do whatever shitty things they can do to get it. Some will do shitty things here for othe…","Women love attention. 

Many will do whatever shitty things they can do to get it. Some will do shitty things here for other reasons. 

Be careful, gentlemen.",Sat Aug 18 23:13:59 +0000 2018
itsallybitch1,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:13:57 +0000 2018
_Jaitje_,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:13:56 +0000 2018
fumikostepke3,"RT @BIGMONEYMIKE6: #BMM #PENNYSTOCKS MEMO:

FAM , THERE ARE A LOT OF SNAKES &amp; SCAMMERS OUT THERE &amp; U NEED TO BE VERY CAREFUL !

STOCKS THAT…","#BMM #PENNYSTOCKS MEMO:

FAM , THERE ARE A LOT OF SNAKES &amp; SCAMMERS OUT THERE &amp; U NEED TO BE VERY CAREFUL !

STOCKS THAT HAVE MARKET MAKERS SUCH AS.. "" VFIN ,MAXM ,VNDM "" ON THE ASK ON LEVEL 2 ( LEARN HOW TOREAD L2 ) ARE DILUTING ( SELLING )

$BIOAQ &amp; $DRUS ARE "" RAPING "" NEWBIES https://t.co/uspl3ik7vL",Sat Aug 18 23:13:55 +0000 2018
