_deefanning,Anyone else having service interruption @rte #GALvLIM,,Sun Aug 19 14:50:14 +0000 2018
comcastcares,@BioTurboNick Hello and good morning. I just wanted to reach back out to you this morning to make sure that your services came back up after the service interruption yesterday. Is everything working now as it should be? -CBC,,Sun Aug 19 14:32:42 +0000 2018
olivercopp,"@netflix The reason why I pay for your service is because I can watch what I want when I want to without interruption or ads. I'll be one customer you lose if you roll out trailers, ads or any other unsolticited programming during or in between episodes.",,Sun Aug 19 12:52:53 +0000 2018
AnanasViolet,"@rekvius325 Le TER 16511 n'a pas été annulé mais modifié suite à l'interruption prévue ce matin pour remettre en service les installations détruites en juillet dernier : https://t.co/bb85Uu7UeQ
Par ailleurs les tarifs des TER ne sont pas décidés par l'exploitant.",,Sun Aug 19 12:44:38 +0000 2018
Celcom,@ainadra_ At this moment we don't have any service interruption at the mentioned location. Have you tried restarting your phone?,,Sun Aug 19 12:43:00 +0000 2018
Ask_Spectrum,@Criticfromcouch Apologies for the service interruption. Can you please DM your account number as well as the service address. ^SS,,Sun Aug 19 12:09:46 +0000 2018
supersummerific,@PLDT_Cares the last time I had service interruption was last March. It’s only been five months. Here we go again. It took you a week to fix this the last time how long will it f*ckin take this time?,,Sun Aug 19 11:31:53 +0000 2018
aqua_gib,REMINDER - Service Availability Information - Potable Water Interruption Tomorrow https://t.co/uf02m5fjM1,,Sun Aug 19 11:00:27 +0000 2018
TumiKgabo,"@OlwetuNyamela Hi Olwetu,  my preliminary investigation is that our contingency plan regarding service interruption did not kick into place as it was supposed to. I am most embarrassed by the incident. We will make contact with all the affected customers. Thank you for reaching out.",,Sun Aug 19 10:42:17 +0000 2018
Ask_Spectrum,@KGodsave I can look into the service interruption. Please follow/DM your account number as well as the service address. ^SS,,Sun Aug 19 10:17:06 +0000 2018
Ask_Spectrum,@Garth34615869 I can look into the service interruption. Please follow/DM your account number as well as the service address. ^SS,,Sun Aug 19 10:16:15 +0000 2018
