yanisbojo,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:13:26 +0000 2018
Hle_K,"@ZohManqele same here, we must really keep her in our prayers",,Sat Aug 18 20:13:25 +0000 2018
dagreatwendini,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:13:23 +0000 2018
Lindoku80759690,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:13:22 +0000 2018
_Linnds_15,"RT @baileyyferg: Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care,…","Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care, some of God's greatest gifts are unanswered prayers.”",Sat Aug 18 20:13:21 +0000 2018
europe_falling,"RT @johnebooth1: ""Two windows of a mosque were broken during evening prayers yesterday. Armed police attended the incident.""

""Two windows…","""Two windows of a mosque were broken during evening prayers yesterday. Armed police attended the incident.""

""Two windows of a CoE church were broken last night. The police declined to attend considering it of no great importance. An incident number was given to the complainant.""",Sat Aug 18 20:13:20 +0000 2018
DaaisyCaakes15,RT @daniellaav__: Idc what anybody says... PRAYERS WORK &amp; THAT MAN ABOVE IS REAL❤️,Idc what anybody says... PRAYERS WORK &amp; THAT MAN ABOVE IS REAL❤️,Sat Aug 18 20:13:20 +0000 2018
baileyvannoy,"RT @hogan_kacie: learning to adjust my prayers from ""change my circumstance"" to ""change my heart instead""","learning to adjust my prayers from ""change my circumstance"" to ""change my heart instead""",Sat Aug 18 20:13:18 +0000 2018
KamYnf22,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:13:18 +0000 2018
Ariels_Lyfe,"RT @tamararenaye: Good morning. Say your prayers, be grateful, and feed your spirit with good and positive things.","Good morning. Say your prayers, be grateful, and feed your spirit with good and positive things.",Sat Aug 18 20:13:15 +0000 2018
DumpsterFire_45,"RT @tuszyb: It's my birthday. I start chemo next week for chronic myeloid leukemia. If you're a #Resister who follows me, will you RT this?…","It's my birthday. I start chemo next week for chronic myeloid leukemia. If you're a #Resister who follows me, will you RT this? I could use all the prayers &amp; good encouragement you feel led to share with me. I #FBR after vetting to weed out boots &amp; trolls.",Sat Aug 18 20:13:15 +0000 2018
deafhannah,Love that I go googling for Cistercian prayers ready for Monday and guess who comes up as no 3 on the results. Our very own @educationpriest!,,Sat Aug 18 20:13:14 +0000 2018
PhilipWilcocks,"RT @JustinWelby: Kofi Annan set an example of reconciliation, leadership, integrity and service, underpinned by deep Christian faith. We re…","Kofi Annan set an example of reconciliation, leadership, integrity and service, underpinned by deep Christian faith. We remember him in prayers of great gratitude. 

“Blessed are the peacemakers, for they shall be called children of God.” (Matthew 5:9)",Sat Aug 18 20:13:14 +0000 2018
MahyEllie,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:13:14 +0000 2018
singh_robb,"RT @eyehinakhan: We hav done our bit,I request all don’t step back or hold ur selves, anyone can donate any figure they feel shall be signi…","We hav done our bit,I request all don’t step back or hold ur selves, anyone can donate any figure they feel shall be significant according to their capacity. It’s not about how much, it’s about ‘will you?’ Help the authorities, help our fellow citizens.
Take care Kerala! Prayers! https://t.co/nvPicN7Cgy",Sat Aug 18 20:13:12 +0000 2018
Ldenemark,@srSHREK31 @CGMorty59 I don’t have a dog but I do have prayers to send. God bless Miles.,,Sat Aug 18 20:13:12 +0000 2018
BugzyBlack,RT @nikkihaley: RT @USUN: We join the entire @UN and diplomatic community in celebrating his life and lifting the Annan family up in love a…,RT @USUN: We join the entire @UN and diplomatic community in celebrating his life and lifting the Annan family up in love and prayers. https://t.co/UVMactnXYt,Sat Aug 18 20:13:10 +0000 2018
_chelll_,"RT @_ashleybrionne_: Sis, you’re next.... unexpected blessings, breakthroughs, manifestations, answered prayers, and overflow has YOUR NAME…","Sis, you’re next.... unexpected blessings, breakthroughs, manifestations, answered prayers, and overflow has YOUR NAME ON IT!! Don’t give up yet 🙏🏽",Sat Aug 18 20:13:09 +0000 2018
BrettGilford,HartRamsey’sUPLIFT: “Thinking we’ve arrived” is the reason GOD ignores our prayers 4 guidance. If we’re already there why do we need a guide?,,Sat Aug 18 20:13:09 +0000 2018
Paulinekkelly1,@RyanJohnBlack Best wishes Ryan. Forever in my prayers x,,Sat Aug 18 20:13:08 +0000 2018
PhillyGal95,Thank God he listening to my prayers about getting thicker 😂😂😭 https://t.co/wxAHNqNrOU,,Sat Aug 18 20:13:08 +0000 2018
dontcavitate,RT @ElderLansing: @_TheRealBecky1 @TeedIsMe @David_MagaUSA @Kpe1964 @anne19brown @NavMan_CanDo @Wolfie_V3 @jrbloom57 @aseeger3 @amandaowens…,@_TheRealBecky1 @TeedIsMe @David_MagaUSA @Kpe1964 @anne19brown @NavMan_CanDo @Wolfie_V3 @jrbloom57 @aseeger3 @amandaowens1969 @dybarb @KellsBellsSC @sldsands @the_amish_txtr @goofballgeorge @dontcavitate @fightinirish109 @SharrDonald @NaceBeth Prayers go out so sad☹️😡,Sat Aug 18 20:13:06 +0000 2018
AlyssaSammons1,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:13:06 +0000 2018
christe4,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 20:13:01 +0000 2018
awkward_armando,"RT @GloriaArias03: if you’re going through a hard time just yell “this too shall pass” as loud as you can, i promise god will hear you and…","if you’re going through a hard time just yell “this too shall pass” as loud as you can, i promise god will hear you and be there with you to help guide you in the right direction. you’re all in my prayers &lt;333",Sat Aug 18 20:13:01 +0000 2018
Faitholvera1,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:13:00 +0000 2018
Turki_ATTamimi,"@MulcahyA Dear friend, I’m asking question not looking for prayers here!",,Sat Aug 18 20:13:00 +0000 2018
darlingljho,@fosterthepeople i am so sorry. sending prayers and love 💙,,Sat Aug 18 20:12:57 +0000 2018
CamilleCynthia,RT @daniellaav__: Idc what anybody says... PRAYERS WORK &amp; THAT MAN ABOVE IS REAL❤️,Idc what anybody says... PRAYERS WORK &amp; THAT MAN ABOVE IS REAL❤️,Sat Aug 18 20:12:57 +0000 2018
