ElkoDaily,"New fire south of Carlin burns 2,500-plus acres Thursday https://t.co/E1cpS8wpUT",,Fri Aug 24 04:48:09 +0000 2018
danvillebuzz,"Fire burns 4 acres of Mount Diablo: by https://t.co/PcXQBBpkp1 A fire has burned four acres on Mount Diablo in Contra Costa County, Cal Fire officials said Thursday evening. https://t.co/K1tQ9eeAbG",,Fri Aug 24 01:08:04 +0000 2018
DanvilleSanRamo,"A fire has burned four acres on Mount Diablo in Contra Costa County, Cal Fire officials said Thursday evening.
https://t.co/AmibzCK9MH",,Fri Aug 24 01:05:08 +0000 2018
californiacredi,"Wildfire on Dole Plantation burns through 30 acres of brush, trees: A Sunday morning wildfire at Dole Plantation caused damage to about 30 acres of land, according to Honolulu fire officials.   copyright  © 2018 https://t.co/PrJiqbl8cF https://t.co/0xGLni1DQP",,Thu Aug 23 22:02:06 +0000 2018
nojobBenge,"Wildfire on Dole Plantation burns through 30 acres of brush, trees: A Sunday morning wildfire at Dole Plantation caused damage to about 30 acres of land, according to Honolulu fire officials.   copyright  © 2018 https://t.co/ysHCdtpKd4 https://t.co/eszgXn9LPm",,Thu Aug 23 21:42:04 +0000 2018
mcdean76,RT @austintexasgov: #ATXCouncil approves an agreement with @WildflowerCtr and @AustinWater Wildland Conservation Division to coordinate pre…,"#ATXCouncil approves an agreement with @WildflowerCtr and @AustinWater Wildland Conservation Division to coordinate prescribed burns, wildfire prevention and preparedness, and for assistance on possible fire incidents on 40,000 acres of Austin’s conservation lands. #atxgoodfire https://t.co/5XOG3WLM18",Thu Aug 23 20:42:49 +0000 2018
austintexasgov,"#ATXCouncil approves an agreement with @WildflowerCtr and @AustinWater Wildland Conservation Division to coordinate prescribed burns, wildfire prevention and preparedness, and for assistance on possible fire incidents on 40,000 acres of Austin’s conservation lands. #atxgoodfire https://t.co/5XOG3WLM18",,Thu Aug 23 15:44:42 +0000 2018
bridge91,RT @KREM2: Wildfire burns 10 acres northeast of Hayden Lake https://t.co/5Om2sdEd8L https://t.co/mXTnVMrUQS,Wildfire burns 10 acres northeast of Hayden Lake https://t.co/5Om2sdEd8L https://t.co/mXTnVMrUQS,Thu Aug 23 08:43:29 +0000 2018
KREM2,Wildfire burns 10 acres northeast of Hayden Lake https://t.co/5Om2sdEd8L https://t.co/mXTnVMrUQS,,Thu Aug 23 08:00:31 +0000 2018
curiel_candy,"RT @DesertSunNews: Out of control wildfire burns 25 acres near Beaumont, Highway 60 closed https://t.co/xtKTVV60OL","Out of control wildfire burns 25 acres near Beaumont, Highway 60 closed https://t.co/xtKTVV60OL",Thu Aug 23 04:38:43 +0000 2018
KREM2,Wildfire burns 10 acres northeast of Hayden Lake https://t.co/tlnqdPS1j8 https://t.co/PKCWwLKrhL,,Thu Aug 23 03:40:11 +0000 2018
WeLovePlaytime,RT @KREM2: Wildfire burns 10 acres northeast of Hayden Lake https://t.co/tganeFB2Jl https://t.co/o4IlbAu586,Wildfire burns 10 acres northeast of Hayden Lake https://t.co/tganeFB2Jl https://t.co/o4IlbAu586,Wed Aug 22 23:43:23 +0000 2018
widgetsmom1,RT @KREM2: Wildfire burns 10 acres northeast of Hayden Lake https://t.co/tganeFB2Jl https://t.co/o4IlbAu586,Wildfire burns 10 acres northeast of Hayden Lake https://t.co/tganeFB2Jl https://t.co/o4IlbAu586,Wed Aug 22 23:36:41 +0000 2018
KREM2,Wildfire burns 10 acres northeast of Hayden Lake https://t.co/tganeFB2Jl https://t.co/o4IlbAu586,,Wed Aug 22 23:20:08 +0000 2018
Weezette,"RT @DesertSunNews: Out of control wildfire burns 25 acres near Beaumont, Highway 60 closed https://t.co/xtKTVV60OL","Out of control wildfire burns 25 acres near Beaumont, Highway 60 closed https://t.co/xtKTVV60OL",Wed Aug 22 22:48:26 +0000 2018
TDSSherryBarkas,"Out of control wildfire burns 25 acres near Beaumont,  Highway 60 closed https://t.co/ybfgoz5HdP via @mydesert",,Wed Aug 22 22:20:29 +0000 2018
PSTimNews,"RT @DesertSunNews: Out of control wildfire burns 25 acres near Beaumont, Highway 60 closed https://t.co/xtKTVV60OL","Out of control wildfire burns 25 acres near Beaumont, Highway 60 closed https://t.co/xtKTVV60OL",Wed Aug 22 22:04:56 +0000 2018
DesertSunNews,"Out of control wildfire burns 25 acres near Beaumont, Highway 60 closed https://t.co/xtKTVV60OL",,Wed Aug 22 22:02:06 +0000 2018
KTVL,"Fire east of Glendale burns 1.5 acres near Murphy Creek Road

https://t.co/h3jtRFEd8z",,Wed Aug 22 20:00:00 +0000 2018
Burns_Bog,"RT @NCC_CNC: Today, @NCC_CNC announced the protection of 6,790 acres of crucial wetlands and peat bog in Quebec https://t.co/6RLuNMBc55 #Na…","Today, @NCC_CNC announced the protection of 6,790 acres of crucial wetlands and peat bog in Quebec https://t.co/6RLuNMBc55 #NatureConservation #WetlandConservation https://t.co/sPNIO6lvV4",Wed Aug 22 17:49:39 +0000 2018
KoehlerMatthew,"@forestservice Another photo of a firefighter lighting more #wildfire. How much of the 5.9 million acres burned in #wildfires is from back-burns?

• From 1919-1949, an average of 30 million acres burned annually.

• From 1500-1800 researchers estimate that 145 million acres burned annually",,Wed Aug 22 15:17:16 +0000 2018
missceeeeee,"The west is burning up but hey get greedier montana 

The stupid it burns and i mean the stupid white nationalist voters of montana deserve what they get. Make sure those mil acres are in glacier

We can always go across the border where the folks care about the land https://t.co/IuiIVmsHf9",,Tue Aug 21 21:18:08 +0000 2018
