Mawiiep,RT @PiPemc: #earthquake #temblor barbados. 7.3 en la escala. https://t.co/QIzrv27OtR,#earthquake #temblor barbados. 7.3 en la escala. https://t.co/QIzrv27OtR,Thu Aug 23 11:24:33 +0000 2018
dandy_cannes,RT @AlanSemsar: Summer noodles bamboo 🎋water slide 🇯🇵 supporting the Kumamoto earthquake recovery efforts  🙏 Fishing for Somen 🍜 with the C…,Summer noodles bamboo 🎋water slide 🇯🇵 supporting the Kumamoto earthquake recovery efforts  🙏 Fishing for Somen 🍜 with the Consulate General of Japan &amp; met @abc7davidono @japan @ABC7 need @tastemade here https://t.co/RVzKttlTk1,Thu Aug 23 05:13:05 +0000 2018
NewsRepublicTV,I added a video to a @YouTube playlist https://t.co/UTNrGqFpzc 9.2 Magnitude Earthquake got Recorded by the CCTV Camera from Next,,Thu Aug 23 05:10:24 +0000 2018
Indiaisgr88,"The only wine shop opened yesterday in Thrissur, Kerala. That's d spirit of d PPL who has recovered from Natural Calamity, No Tycoons, Tsunami, Hurricanes or EarthQuake can take away their fighting Spirit in them. They are Born to fight against all Odds.👇🙏😁👍. Hat's Off Guy's https://t.co/2X1cKsb39t",,Thu Aug 23 05:08:51 +0000 2018
OngBalanced,"Jugando con los niños mientras ayudamos a construir una tienda para que duerman varias familias de un poblado de central #Lombok. Hacían unos minutos se produjo un #terremoto de 6.5. No podemos cambiar, ni predecir los terremotos, pero si prepararlos frente a ellos. #earthquake https://t.co/Okhn16vwSt",,Thu Aug 23 05:06:13 +0000 2018
plasmaguy5,I liked a @YouTube video https://t.co/qhrIItuJxS BREAKING: Trump Sends Earthquake Through D.C. With Announcement Of Who He Wants To,,Thu Aug 23 05:04:59 +0000 2018
BWolmers,"RT @TTWeatherCenter: Damage at Massy Stores, Westmoorings, Trinidad and Tobago resulting from today’s M7.3-M6.8 earthquake. https://t.co/LI…","Damage at Massy Stores, Westmoorings, Trinidad and Tobago resulting from today’s M7.3-M6.8 earthquake. https://t.co/LIlnuCW2kV",Thu Aug 23 05:04:30 +0000 2018
reg_963,"RT @ElLuchin1: 🇻🇪➡EL MOMENTO EXACTO DEL #Terremoto 7.3 #Sismo #Temblor
17:31PM H/Venezuela 🇻🇪
🔶 a 20 Km al SurEste de #Yaguaraparo
#PuertoE…","🇻🇪➡EL MOMENTO EXACTO DEL #Terremoto 7.3 #Sismo #Temblor
17:31PM H/Venezuela 🇻🇪
🔶 a 20 Km al SurEste de #Yaguaraparo
#PuertoEspaña #Guiria
Estado de #Sucre 
#Venezuela 🇻🇪 #Earthquake #FelizMartes #FelizDomingo 
#DisfrutarLaVidaEs #NuncaDeLosNuncas #FelizMiercoles https://t.co/USz2xfKO5k",Thu Aug 23 05:01:26 +0000 2018
deborahlsmth,I liked a @YouTube video https://t.co/vj8m7kTriQ Earthquake 3D Live Seismic Stream - LIVE EARTHQUAKES 24/7,,Thu Aug 23 04:59:18 +0000 2018
deborahlsmth,I liked a @YouTube video https://t.co/gJwbBCK14b 6.3M Earthquake hits the Tanaga Volcano in Alaska!! Tsunami Warning Issued!!,,Thu Aug 23 04:57:41 +0000 2018
peachyyam,RT @squnto: When the whole crowd turns into an earthquake ☠️😍🐲 https://t.co/KzJ7v9pZJx,When the whole crowd turns into an earthquake ☠️😍🐲 https://t.co/KzJ7v9pZJx,Thu Aug 23 04:45:09 +0000 2018
CharlieCaggiano,"RT @ricardodallen: UPDATE: Jamaica Gleaner are reporting that it was in fact a 7.0 earthquake!

Yikes! 

I am praying for the people in Tri…","UPDATE: Jamaica Gleaner are reporting that it was in fact a 7.0 earthquake!

Yikes! 

I am praying for the people in Trinidad, Venezuela and other affected territories. 

I received this video of piece of a mountain falling off into the sea https://t.co/MliZoEBTK1",Thu Aug 23 04:44:14 +0000 2018
SmilersXSupport,Ik vind een @YouTube-video leuk: https://t.co/6nRnXcNElp *BREAKING* MAJOR Oregon Earthquake 190 MPH HURICANE LANE HAWAII RIng of fire,,Thu Aug 23 04:42:27 +0000 2018
SpecteeInc,"A M7.3 earthquake struck Venezuela’s northeastern coast Tuesday August 21. It was the largest earthquake to hit Venezuela since 1900. No injuries or deaths were reported. (📹: aj_bf)

This video is from our archives. For up-to-date UGC, visit https://t.co/QgsHcmjb6N. https://t.co/HYZ5RpouzP",,Thu Aug 23 04:39:00 +0000 2018
BonoraGabriella,"RT @MFerraglioni: A #TrinidadandTobago  luogo del #terremoto 7.3  #Venezuela 
all'interno di un ristorante #earthquake #Argentine #arg http…","A #TrinidadandTobago  luogo del #terremoto 7.3  #Venezuela 
all'interno di un ristorante #earthquake #Argentine #arg https://t.co/U1GAH6gkqd",Thu Aug 23 04:36:02 +0000 2018
GemNYKiki,RT @iyilerx: A 7.3 Magnitude #Earthquake Strikes Northern #Venezuela. https://t.co/Eks1xJogSL,A 7.3 Magnitude #Earthquake Strikes Northern #Venezuela. https://t.co/Eks1xJogSL,Thu Aug 23 04:32:54 +0000 2018
protisor80,"Thai ladyboy with big tits masturbates her hard cock
 https://t.co/ExI03MNEBz 
 rafian beach handjob busty brunette teacher at school going through an earthquake Bbvbigtits ifm masturbation eporner youtube solo video porno anale  gay minorili ano",,Thu Aug 23 04:30:23 +0000 2018
jim_patriot,I liked a @YouTube video https://t.co/Sxl9waPijA Earthquake 3D Live Seismic Stream - LIVE EARTHQUAKES 24/7,,Thu Aug 23 04:22:12 +0000 2018
VelizYoel,RT @ElLuchin1: 🇻🇪➡Daños estructurales en los ultimos 6 Pisos de la #TorreDeDavid el mas alto rascacielos de #Caracas #Venezuela 🇻🇪 tras el…,"🇻🇪➡Daños estructurales en los ultimos 6 Pisos de la #TorreDeDavid el mas alto rascacielos de #Caracas #Venezuela 🇻🇪 tras el #Terremoto 7.3 
#Earthquake #FelizMiercoles #lluvia #Storm #Flood #Earthquake
#Sismo #Temblor #NuncaDeLosNuncas #21agosto https://t.co/rTdmUZPyPl",Thu Aug 23 04:19:25 +0000 2018
_Jams_Infires_,RT @Anonymouspmv: earthquake trinidadandtobago #TrinidadandTobago terremoto en trinidad https://t.co/aTqaAqZInM,earthquake trinidadandtobago #TrinidadandTobago terremoto en trinidad https://t.co/aTqaAqZInM,Thu Aug 23 04:18:06 +0000 2018
_Jams_Infires_,"RT @aurorakherrera: Footage of 6.8 magnitude earthquake in Trinidad August 21, 5:31pm local time. #TrinidadandTobago #earthquake https://t.…","Footage of 6.8 magnitude earthquake in Trinidad August 21, 5:31pm local time. #TrinidadandTobago #earthquake https://t.co/EZnyQLdTsH",Thu Aug 23 04:17:45 +0000 2018
kpalavin,I liked a @YouTube video https://t.co/faw3W07E1j Earthquake 3D Live Seismic Stream - LIVE EARTHQUAKES 24/7,,Thu Aug 23 04:16:08 +0000 2018
WCMobileNews,VIDEO Link Showing a 6 Minutes Earthquake Rumbling the West Coast https://t.co/8trGPZJhtj https://t.co/wbyVIC92vx,,Thu Aug 23 04:13:48 +0000 2018
DecoratedSnow,"The earthquake debris was bigger than him

https://t.co/4QcBEe407P https://t.co/dFolSzzuGt",,Thu Aug 23 04:04:59 +0000 2018
IdaFlo,RT @kryptokoi: Video: Venezuelan Leader Celebrates ‘Socialist‘ Earthquake | Breitbart https://t.co/gjKbfHRMaf via @BreitbartNews,Video: Venezuelan Leader Celebrates ‘Socialist‘ Earthquake | Breitbart https://t.co/gjKbfHRMaf via @BreitbartNews,Thu Aug 23 04:01:16 +0000 2018
kryptokoi,Video: Venezuelan Leader Celebrates ‘Socialist‘ Earthquake | Breitbart https://t.co/gjKbfHRMaf via @BreitbartNews,,Thu Aug 23 04:00:09 +0000 2018
FlymanHitz,I liked a @YouTube video https://t.co/YlZDyvLTT4 Earthquake 3D Live Seismic Stream - LIVE EARTHQUAKES 24/7,,Thu Aug 23 03:53:26 +0000 2018
younggots,"Faithful Video Ready To DropImma do A Lil More Promo Work‼️‼️
 Get Ready For This Earthquake Pushing This One As Much As My Wheelchair ♿️♿️!!! #Jerz #BoM #WeUp #pressureonlinemedia @… https://t.co/0gbsGY4Joy",,Thu Aug 23 03:51:23 +0000 2018
HEINZBAUMGART12,Ich mag das @YouTube-Video: https://t.co/0UII1SGGE6 Earthquake 3D Live Seismic Stream - LIVE EARTHQUAKES 24/7,,Thu Aug 23 03:49:10 +0000 2018
MaggieSimi,"RT @numnum21: Chaguaramas Trinidad, and the epicenter of the earthquake was off the coast of Venezuela. Wooow https://t.co/UzEm9SUZAA","Chaguaramas Trinidad, and the epicenter of the earthquake was off the coast of Venezuela. Wooow https://t.co/UzEm9SUZAA",Thu Aug 23 03:37:54 +0000 2018
HockeyOnly13,RT @VideoRecipesBot: Happiness is earthquake cake. 🍰  #Recipe https://t.co/TKmd2p7acg,Happiness is earthquake cake. 🍰  #Recipe https://t.co/TKmd2p7acg,Thu Aug 23 03:35:52 +0000 2018
LimAiYim,Fragility earth opening powerful enough to move and shake all in its path. https://t.co/sKp55inRFC,,Thu Aug 23 03:22:58 +0000 2018
LuanaMacLac,Video: Venezuelan Leader Celebrates 'Socialist' Earthquake | Breitbart https://t.co/u3Zreh0Tze via @BreitbartNews,,Thu Aug 23 03:22:36 +0000 2018
corelionnews,"Trinidad and Tobago earthquake in Sucre, Venezuela: Sails Restaurant in Chaguaramas experienced significant structure damage due yesterday earthquake. 
https://t.co/QTSyb1eqUc

#corelionnews #new #new #venezuela #sucre #trinidadandtobago #earthquake #tremor #chaguaramas #travel https://t.co/rvTasHo9xr",,Thu Aug 23 03:15:00 +0000 2018
horsyguy,"I liked a @YouTube video https://t.co/jK1QqG0dcw 300 - First Battle Scene - Full HD 1080p - Earthquake. No Captain, Battle",,Thu Aug 23 03:14:16 +0000 2018
TV5kannada,I added a video to a @YouTube playlist https://t.co/q8oe1V5TsP Earthquake in Chikmagalur | ನೋಡ್ತಿದಂತೆ ಎರಡು,,Thu Aug 23 03:12:14 +0000 2018
MasonPeterJ,"RT #UNOCHA: When a major earthquake struck Turkey in 1999, Jesper Lund packed a bag with what he could find in the office and got on the first plane to Istanbul. 
This is what happened next ➡️ https://t.co/VUO3MXrpM5 

#ReadyToGo https://t.co/mWcdsrUs0s",,Thu Aug 23 03:01:22 +0000 2018
SArmstrongP,RT @SMAFaubert: Having fun with LEGO WeDo 2.0. Still standing after the earthquake? @SACTVDSB #LEGO https://t.co/BkIxSR6YkT,Having fun with LEGO WeDo 2.0. Still standing after the earthquake? @SACTVDSB #LEGO https://t.co/BkIxSR6YkT,Thu Aug 23 03:01:10 +0000 2018
UNOCHA,"When a major earthquake struck Turkey in 1999, Jesper Lund packed a bag with what he could find in the office and got on the first plane to Istanbul. 
This is what happened next ➡️ https://t.co/A8gUdSNkYF 

#ReadyToGo https://t.co/cJEMtsHXXN",,Thu Aug 23 03:00:00 +0000 2018
cashmere01chase,"RT @Anonymouspmv: terremoto en trinidad y tobago
earthquake on trinidad and Tobago
#earthquake #Trinidad #TERREMOTO  #PortOfSpain #PuertoEs…","terremoto en trinidad y tobago
earthquake on trinidad and Tobago
#earthquake #Trinidad #TERREMOTO  #PortOfSpain #PuertoEspaña #21AGO #TeamHDP #Venezuela #ElRegimenSeDesploma https://t.co/UXYYqVEyQF",Thu Aug 23 02:57:27 +0000 2018
nahemvzla,"RT @WellingMichael: #Temblor Serious damage is reported the State Anzoátegui, #Venezuela after strong earthquake that shook the country.-@Y…","#Temblor Serious damage is reported the State Anzoátegui, #Venezuela after strong earthquake that shook the country.-@Yusnaby 
 https://t.co/wK5kZHd6pz",Thu Aug 23 02:51:15 +0000 2018
Erikavilla2017,"RT @AleZ2016: kaos the dog that saved many lives in the earthquake of Italy 2016, was poisoned  two weeks ago. The only thing I can say is…","kaos the dog that saved many lives in the earthquake of Italy 2016, was poisoned  two weeks ago. The only thing I can say is that I believe in justice and for Kaos, justice will be done. https://t.co/M3Ku8y3AjX",Thu Aug 23 02:48:19 +0000 2018
tunes200,RT @aurorakherrera: A 5.9 magnitude aftershock got Trinidad this morning at 9:27 a.m. This is footage of damage to the Cathedral in Port-of…,A 5.9 magnitude aftershock got Trinidad this morning at 9:27 a.m. This is footage of damage to the Cathedral in Port-of-Spain. #TrinidadEarthquake #TrinidadandTobago #earthquake #aftershock https://t.co/0kaJdupytF,Thu Aug 23 02:42:42 +0000 2018
LuanneAshe,I added a video to a @YouTube playlist https://t.co/fC4OlrXVkc 8/22/18 5am Earthquake Update Dutchsinse - Upgraded M6.2 Juan De Fuca,,Thu Aug 23 02:36:36 +0000 2018
LuanneAshe,I liked a @YouTube video https://t.co/fC4OlrXVkc 8/22/18 5am Earthquake Update Dutchsinse - Upgraded M6.2 Juan De Fuca,,Thu Aug 23 02:36:33 +0000 2018
rick17403,Video: Venezuelan Leader Celebrates ‘Socialist‘ Earthquake | Breitbart https://t.co/5OulmK6Dlh via @BreitbartNews,,Thu Aug 23 02:35:39 +0000 2018
GeorgeAFuller,7.3 magnitude earthquake in Venezuela rocks buildings and cars – video https://t.co/dUHDQbw2cl,,Thu Aug 23 02:34:47 +0000 2018
IKN_Mark,"Video of #Venezuela 7.3mag #earthquake yesterday at Las Claritas informal mine.

Pretty dramatic viewing. You'll see what ""informal mining"" really means. https://t.co/N8DL0hlDyv",,Thu Aug 23 02:31:46 +0000 2018
CindyRe21903000,"RT @dutchsinse: Get the word out please.   

MAJOR SEISMIC UNREST UNDERWAY-- Another large earthquake has just struck.. on top of the M7.3…","Get the word out please.   

MAJOR SEISMIC UNREST UNDERWAY-- Another large earthquake has just struck.. on top of the M7.3 in the Caribbean... now.. a new near M7.0 (M6.7) has struck the West Pacific !

Full video here:

https://t.co/mfjBFkVeOH",Thu Aug 23 02:23:53 +0000 2018
JordanJordan69,Earthquake 😢 https://t.co/crgeLfU1Ej,,Thu Aug 23 02:22:43 +0000 2018
neerajgargdairy,RT @thehorrorpics: Swimming pool during an earthquake 😳 https://t.co/z9C2R8Reup,Swimming pool during an earthquake 😳 https://t.co/z9C2R8Reup,Thu Aug 23 02:13:31 +0000 2018
Satta39,RT @CNC3TV: A resident recorded this video during the earthquake https://t.co/TVPrOWtl1U,A resident recorded this video during the earthquake https://t.co/TVPrOWtl1U,Thu Aug 23 02:10:52 +0000 2018
alondratheninja,"RT @vcstar: While a potential eruption of the supervolcano that lies beneath this iconic park may garner more alarming headlines, the more…","While a potential eruption of the supervolcano that lies beneath this iconic park may garner more alarming headlines, the more likely hazard is a major earthquake. https://t.co/LhWAwDdEGv",Thu Aug 23 02:10:24 +0000 2018
EagleStarNET,Video: Venezuelan Leader Celebrates 'Socialist' Earthquake https://t.co/10ADZL3lIQ https://t.co/yJD4zQq6ll,,Thu Aug 23 02:02:27 +0000 2018
danheyden,RT @MaestroDEPR: A strong 6.1 #earthquake #Terremoto #Temblor near Bandon #Oregon right now Not #tsunami Alert 🚨 https://t.co/RI7Urnuczi,A strong 6.1 #earthquake #Terremoto #Temblor near Bandon #Oregon right now Not #tsunami Alert 🚨 https://t.co/RI7Urnuczi,Thu Aug 23 02:02:17 +0000 2018
EagleStarNET,7.3 magnitude earthquake in Venezuela rocks buildings and cars – video https://t.co/giUIvnZX67,,Thu Aug 23 02:01:40 +0000 2018
VideoRecipesBot,Happiness is earthquake cake. 🍰  #Recipe https://t.co/TKmd2p7acg,,Thu Aug 23 02:01:17 +0000 2018
GilberBastidas,"RT @BNONews: Video shows the moment a powerful earthquake was felt in Trinidad and Tobago, causing damage https://t.co/1itHjtM8VE","Video shows the moment a powerful earthquake was felt in Trinidad and Tobago, causing damage https://t.co/1itHjtM8VE",Thu Aug 23 02:00:51 +0000 2018
bunnyhuggr,"RT @ricardodallen: 6.2 Magnitude quake just hit Trinidad! Electricity out in many areas. 

Prayers up to all my T&amp;T friends, family and bus…","6.2 Magnitude quake just hit Trinidad! Electricity out in many areas. 

Prayers up to all my T&amp;T friends, family and business partners!

Trinidad 🇹🇹 

Video Credits: Not sure. But here’s an earthquake hat just happened. https://t.co/dbeB3GqAQl",Thu Aug 23 02:00:40 +0000 2018
withinredsuit,"RT @quakeitanyways: ❛ɪ'ᴍ ꜱᴛʀᴏɴɢᴇʀ ᴛʜᴀɴ ʏᴏᴜ ᴋɴᴏᴡ. 
            ɪ'ᴍ ᴛʜᴇ ᴅᴇꜱᴛʀᴏʏᴇʀ ᴏғ ᴡᴏʀʟᴅꜱ.❜

            ˗ˏˋ ＱＵＡＫＥ ˎˊ˗ 

        ჻ earthqua…","❛ɪ'ᴍ ꜱᴛʀᴏɴɢᴇʀ ᴛʜᴀɴ ʏᴏᴜ ᴋɴᴏᴡ. 
            ɪ'ᴍ ᴛʜᴇ ᴅᴇꜱᴛʀᴏʏᴇʀ ᴏғ ᴡᴏʀʟᴅꜱ.❜

            ˗ˏˋ ＱＵＡＫＥ ˎˊ˗ 

        ჻ earthquake inhuman
        ჻ ꜱʜɪᴇʟᴅ agent.
        ჻ MCU ⤳ SPA.
        ჻ ʙʏ #ɴᴏᴛʏᴏᴜʀs

           ¿ʀᴛ? https://t.co/YP0DyMz3qV",Thu Aug 23 02:00:27 +0000 2018
FlashcomID,"Suasana belajar kursus secara private di #Flashcomindonesia, dengan materi menyesuaikan kebutuhan siswa dan jadwal yang fleksibel. Mau Join? Whatsapp 085735948460
#IDOL #MyTwitterAnniversary #worldofdance #talentofox #ajithkumar #thalaajith #Viswasamfirstlook #earthquake #Senado https://t.co/rV4QvzBRij",,Thu Aug 23 02:00:17 +0000 2018
TDIAct,RT @seXi_GodDesS_49: Earthquake in Venezuela felt in Trinidad https://t.co/vrhVpIto74,Earthquake in Venezuela felt in Trinidad https://t.co/vrhVpIto74,Thu Aug 23 01:59:59 +0000 2018
EliezarJuan,RT @TriniBoogie: @pam_r104 Somebody just sent me this video - nowhere to hide! #Trinidad #earthquake https://t.co/FeaxKoORHS,@pam_r104 Somebody just sent me this video - nowhere to hide! #Trinidad #earthquake https://t.co/FeaxKoORHS,Thu Aug 23 01:56:14 +0000 2018
bhootra96,I added a video to a @YouTube playlist https://t.co/SVhMsqrjNH Earthquake proof: Japan building made quake-safe by curtain of cables,,Thu Aug 23 01:53:21 +0000 2018
EliezarJuan,RT @anumetservice: #Earthquake damage in #Trinidad https://t.co/g383uzHSkQ,#Earthquake damage in #Trinidad https://t.co/g383uzHSkQ,Thu Aug 23 01:52:13 +0000 2018
EliezarJuan,RT @KerriBacchanal: Really never come a Barbados fi dead.. so God tek it easy wid the earthquake dem for me please alright #AliveSameWay #b…,Really never come a Barbados fi dead.. so God tek it easy wid the earthquake dem for me please alright #AliveSameWay #barbados #earthquake https://t.co/w4PiBEJzJF,Thu Aug 23 01:52:07 +0000 2018
eslpei,I liked a @YouTube video https://t.co/bNRd0fMJds 8/22/18 8:30am Earthquake Update Dutchsinse,,Thu Aug 23 01:50:57 +0000 2018
knockoutextreme,I liked a @YouTube video https://t.co/1p7e1LoNQv 8/22/18 8:30am Earthquake Update Dutchsinse,,Thu Aug 23 01:33:09 +0000 2018
MichaelAmmoun1,RT @PressTV: Watch how people react as 7.3-magnitude #earthquake hits northern #Venezuela's northern coast https://t.co/AozYeGAr1g,Watch how people react as 7.3-magnitude #earthquake hits northern #Venezuela's northern coast https://t.co/AozYeGAr1g,Thu Aug 23 01:32:15 +0000 2018
shagui2011,Me gustó un video de @YouTube https://t.co/DokpjxhrwH Earthquake 3D Live Seismic Stream - LIVE EARTHQUAKES 24/7,,Thu Aug 23 01:30:39 +0000 2018
CarlosA56338438,RT @XHNews: Massive earthquake jolts northern Venezuela on Tuesday https://t.co/kMuC941AQW,Massive earthquake jolts northern Venezuela on Tuesday https://t.co/kMuC941AQW,Thu Aug 23 01:29:09 +0000 2018
Bitopan8,I liked a @YouTube video https://t.co/O9xlWQhnXU 8/22/18 8:30am Earthquake Update Dutchsinse,,Thu Aug 23 01:28:43 +0000 2018
christinshar0,Earthquake yesterday https://t.co/F34RkEFMrJ,,Thu Aug 23 01:26:23 +0000 2018
itzchriz158,I liked a @YouTube video https://t.co/rrhodkVtwe Earthquake 21 08 2018 Trinidad,,Thu Aug 23 01:21:20 +0000 2018
_Owii_,So why every video me see wid the earthquake instead them under the table them stand up a video the table a shake,,Thu Aug 23 01:21:16 +0000 2018
nrstooge,I liked a @YouTube video https://t.co/KtdrHbKGcb Earthquake 3D Live Seismic Stream - LIVE EARTHQUAKES 24/7,,Thu Aug 23 01:17:38 +0000 2018
CeleneIsMyName,"Here is a video of the earthquake yesterday. I found this video on YouTube.

https://t.co/D4FPcTLo3c https://t.co/D4FPcTLo3c",,Thu Aug 23 01:10:13 +0000 2018
SewWhoCares,RT @Ruptly: 7.3-magnitude earthquake hits northern coast of #Venezuela https://t.co/Y7pYlrwCxV,7.3-magnitude earthquake hits northern coast of #Venezuela https://t.co/Y7pYlrwCxV,Thu Aug 23 01:09:46 +0000 2018
Khrishtiun,"RT @TTWeatherCenter: Part of the Trinity Cathedral, Port of Spain fell onto a car parked below following Tuesday Evening’s M6.8-M7.3 earthq…","Part of the Trinity Cathedral, Port of Spain fell onto a car parked below following Tuesday Evening’s M6.8-M7.3 earthquake. https://t.co/yofCBiKhYO",Thu Aug 23 01:02:24 +0000 2018
Evan05802887,"@SimpleHistoryYT You should do a video on natural disasters such as the Boxing Day Tsunami, the St Helen's Eruption, 1958 Lituya Bay mega tsunami, the Daulatpur–Saturia tornado, or even the Tōhoku earthquake (the earthquake that caused the Fukushima disaster). BTW Love your Vids!",,Thu Aug 23 01:01:35 +0000 2018
raphaellaN,Video: Venezuelan CLUSTERF*CK  Leader Celebrates ‘Socialist’ Earthquake https://t.co/W7gtqXTAwx via @BreitbartNews,,Thu Aug 23 00:59:42 +0000 2018
LeiShRox,Earthquake wake ups 😑 #MotherNature #earthquake #bali https://t.co/6fsekw1y8h,,Thu Aug 23 00:58:38 +0000 2018
purerose2011,Venezuela earthquake: Video captures TERRIFYING scenes as MASSIVE 7.3 quake rocks region | News | https://t.co/5P1h2iAFMp https://t.co/KhkXtVCevQ,,Thu Aug 23 00:56:24 +0000 2018
Benjami79038712,"RT @PROCKOfficial1: Show you boy some by retweets 

@KwestaDaKAR 
@RapLyfRecordsZA @YoungstaCpt @KidTini @DjDimplez @DjSwitchSA #slikouronl…","Show you boy some by retweets 

@KwestaDaKAR 
@RapLyfRecordsZA @YoungstaCpt @KidTini @DjDimplez @DjSwitchSA #slikouronlife #1DDrive #DankieSan #BreakfastwithDavid #earthquake #MTN8 #CrwnXNickiMinaj  #DSTVMVCA #welovemusic #SouthAfrica #IndependenceDayIndia #TIDALXCRWN #WomensDay https://t.co/69aeLKdbTI",Thu Aug 23 00:54:35 +0000 2018
Firstfridays77,I added a video to a @YouTube playlist https://t.co/Nre86VWXDH ANOTHER Bali earthquake 52 magnitude Indonesia hit,,Thu Aug 23 00:53:05 +0000 2018
longlatash759,"I liked a @YouTube video https://t.co/EhbsBkGIPO Experts say: Major Earthquake 'can and will' Hit America August 31,2018? End Of The",,Thu Aug 23 00:46:38 +0000 2018
dwlindar13,"RT @lawrence97431: ""Video: Venezuelan Leader Celebrates ‘Socialist’ Earthquake""

Figures. Socialists celebrate all kinds of disasters, man-…","""Video: Venezuelan Leader Celebrates ‘Socialist’ Earthquake""

Figures. Socialists celebrate all kinds of disasters, man-made and natural.

#SocialismKills #Socialism

https://t.co/siJgYadAMb",Thu Aug 23 00:43:15 +0000 2018
anamfores,7.3 magnitude earthquake in Venezuela rocks buildings and cars – video https://t.co/XrPNFaArqX,,Thu Aug 23 00:36:56 +0000 2018
CnsrvativeHusky,Video: Venezuelan Leader Celebrates ‘Socialist’ Earthquake https://t.co/1wpSZvGPiJ via @BreitbartNews,,Thu Aug 23 00:36:52 +0000 2018
InfoSomniac2,"What I gleaned from this video is people freeze in place, not a wise response to an earthquake. Those people had no idea what to do where to go or what actions to take, they simply froze. https://t.co/S1M3M2erpE",,Thu Aug 23 00:36:43 +0000 2018
haplo2999,"I added a video to a @YouTube playlist https://t.co/V2TeTl96zX Earthquake Strikes Venezuela, Trinidad And Grenada",,Thu Aug 23 00:33:09 +0000 2018
justfede93_,RT @MFerraglioni: #Vídeo del terremoto catturato dalle immagini di una telecamera in un supermercato in #Venezuela #temblor #sismo #21Ago #…,#Vídeo del terremoto catturato dalle immagini di una telecamera in un supermercato in #Venezuela #temblor #sismo #21Ago #teinidadandTobago #Terremoto #irapa #21DeAgosto #funvisis #SésionAN #URGENTE #fuerte #earthquake #venezuela  https://t.co/32JhtmI5bE,Thu Aug 23 00:21:34 +0000 2018
ronarvillesmith,"@SciShow I just watched your video on prediction, and thought you should know that Dutchsinofficial on Twitch, is a great place to learn about the current status of earthquake forecasting.",,Thu Aug 23 00:14:05 +0000 2018
lawrence97431,"""Video: Venezuelan Leader Celebrates ‘Socialist’ Earthquake""

Figures. Socialists celebrate all kinds of disasters, man-made and natural.

#SocialismKills #Socialism

https://t.co/siJgYadAMb",,Thu Aug 23 00:09:40 +0000 2018
waynecbartley,I added a video to a @YouTube playlist https://t.co/DXyfxNNQ4j Trinidad earthquake move house and cars,,Thu Aug 23 00:08:22 +0000 2018
waynecbartley,I added a video to a @YouTube playlist https://t.co/fIuwMzOOkp Earthquake in Trinidad and Tobago,,Thu Aug 23 00:08:20 +0000 2018
RhanBlaze,"#Restaurant damage from #TrinidadEarthquake. #Trinidad
https://t.co/ilIhzGKjtB - #GrandSolarMinimum #climatechange #NowPlaying #Video #earthquake trinidad @IceAgeFarmer @Diamondthedave @The_ClimateGuy @adapt2030",,Thu Aug 23 00:00:52 +0000 2018
GtBennybop,I liked a @YouTube video https://t.co/KsT1P7G7z6 BREAKING NEWS: Earthquake creates Tremor effects in Guyana and Trinidad,,Wed Aug 22 23:56:48 +0000 2018
DisasterChannL,RT @JamaicaGleaner: The cracked floor of the Sails restaurant at the Power Boat Marina in #Trinidad and Tobago tells a part of the story of…,The cracked floor of the Sails restaurant at the Power Boat Marina in #Trinidad and Tobago tells a part of the story of the powerful 6.8 magnitude #earthquake that struck Tuesday afternoon - via WhatsApp https://t.co/Uxsb5vKg4I,Wed Aug 22 23:54:18 +0000 2018
original_queen3,Venezuela earthquake https://t.co/pJWSE3vVk6,,Wed Aug 22 23:52:05 +0000 2018
StFerdinandIII,Video: Venezuelan Leader Celebrates 'Socialist' Earthquake https://t.co/x7FRTCPxHB https://t.co/Df8tF7xGK8,,Wed Aug 22 23:41:12 +0000 2018
TheHighLifeGame,I liked a @YouTube video https://t.co/gVnuL0PPzJ 8/22/18 8:30am Earthquake Update Dutchsinse,,Wed Aug 22 23:40:13 +0000 2018
ali_brennon,Earthquake in Trinidad clip from my home https://t.co/ht78H2sQaf,,Wed Aug 22 23:38:46 +0000 2018
nestorl12648766,RT @WellingMichael: #Temblor Moments of panic in the Santiago Mariño University of Maturin during the earthquake that shook #Venezuela. -@Y…,"#Temblor Moments of panic in the Santiago Mariño University of Maturin during the earthquake that shook #Venezuela. -@Yusnaby 
 https://t.co/yZ24XU81wi",Wed Aug 22 23:34:36 +0000 2018
1hugegHugues,RT @Jacquiecharles: Video on social media shows parts of a mountain in #TrinidadandTobago falling off and int the ocean as the earthquake h…,Video on social media shows parts of a mountain in #TrinidadandTobago falling off and int the ocean as the earthquake hit today.,Wed Aug 22 23:32:40 +0000 2018
SherwinChristo,RT @tv6tnt: At least two rooms at a home in Princes Town were destroyed following yesterday's 6.8 magnitude earthquake. https://t.co/Gg67Sz…,At least two rooms at a home in Princes Town were destroyed following yesterday's 6.8 magnitude earthquake. https://t.co/Gg67Sztkuu,Wed Aug 22 23:32:08 +0000 2018
